0.1t,0.1contact_diameter,0.1drop_height,0.1contact_angle,0.1actual_angle
0,73,64,120.6066949,-59.39330508
50000,73,64,120.6066949,-59.39330508
100000,73,64,120.6066949,-59.39330508
150000,73,63,119.8269909,-60.17300911
200000,73,62,119.0285326,-60.97146741
250000,73,61,118.2107155,-61.78928447
300000,71,60,118.7772232,-61.22277681
350000,71,59,117.9297827,-62.0702173
400000,71,58,117.0609862,-62.9390138
450000,71,57,116.1701199,-63.82988013
500000,69,56,116.727928,-63.272072
550000,69,55,115.8021455,-64.19785451
600000,67,54,116.3715226,-63.6284774
650000,67,53,115.4080472,-64.59195277
700000,67,52,114.4182395,-65.58176048
750000,65,51,114.9849512,-65.01504885
800000,65,50,113.9522649,-66.04773511
850000,63,49,114.5295475,-65.47045254
900000,63,48,113.450224,-66.54977597
950000,61,47,114.0380049,-65.96199509
1000000,61,46,112.9077828,-67.09221717
1050000,59,45,113.5058645,-66.4941355
1100000,57,44,114.1355379,-65.86446208
1150000,57,43,112.927906,-67.07209397
1200000,55,42,113.569497,-66.43050299
1250000,53,41,114.2474765,-65.7525235
1300000,53,40,112.9510535,-67.0489465
1350000,51,39,113.6429767,-66.35702332
1400000,49,38,114.3772664,-65.6227336
1450000,47,37,115.1578705,-64.84212953
1500000,45,36,115.9892336,-64.01076642
1550000,45,35,114.5295475,-65.47045254
1600000,43,34,115.3853311,-64.61466891
1650000,41,33,116.3018974,-63.69810264
1700000,39,32,117.2858296,-62.71417045
1750000,37,31,118.3446754,-61.6553246
1800000,35,30,119.4871257,-60.51287433
1850000,33,28,118.9795252,-61.02047481
1900000,31,27,120.2819677,-59.71803233
1950000,29,26,121.7038563,-58.29614369
2000000,25,24,124.9759948,-55.02400525
2050000,23,22,124.8054083,-55.19459174
2100000,21,20,124.6010544,-55.39894562
2150000,17,18,129.4445555,-50.55544447
2200000,15,15,126.8698976,-53.13010235
2250000,11,12,130.7528704,-49.24712957
2291728,0,0,0,0
